Country,Year,Quarter,System duration (hrs),daily_spread_avg,Total arbitrage profit,Cycles (full cycle equivalents),Avg sell price (/MWh),Avg purchase price (/MWh),Cost €/MW
NEM,2024,Q1,1,572.77,93059.83,890.97,145.95,39.45,0
NEM,2024,Q2,1,701.94,204865.22,917.36,297.79,70.79,0
NEM,2024,Q3,1,560.56,109542.87,865.51,178.55,49.42,0
NEM,2024,Q4,1,1114.62,136767.33,815.11,225.1,54.48,0
NEM,2025,Q1,1,479.4,59422.96,743.59,121.52,39.56,0
NEM,2025,Q2,1,927.3,109309.4,688.3,244.22,81.2,0
NEM,2025,Q3,1,232.1,39333.64,784.23,104.48,51.64,0
NEM,2025,Q4,1,476.99,60765.62,888.74,99.59,29.67,0
NEM,2026,Q1,1,316.53,37713.22,678.86,102.93,45.04,0
NEM,2026,Q2,1,103.22,10890.92,444.22,80.42,53.17,0
NEM,2024,Q1,2,366.1,96705.37,472.45,143.56,39.2,0
NEM,2024,Q2,2,556.97,214379.73,485.67,293.08,68.82,0
NEM,2024,Q3,2,455.55,133861.71,462.73,192.64,45.65,0
NEM,2024,Q4,2,755.08,167785.28,431.6,247.18,50.22,0
NEM,2025,Q1,2,319.19,72398.39,402.62,130.79,38.88,0
NEM,2025,Q2,2,682.82,148261.21,382.35,266.73,69.3,0
NEM,2025,Q3,2,209.78,56941.85,421.17,118.25,48.18,0
NEM,2025,Q4,2,319.97,74072.33,456.2,109.15,26.6,0
NEM,2026,Q1,2,206.91,45664.03,376.8,106.14,43.33,0
NEM,2026,Q2,2,94.42,15683.66,245.58,86.26,51.71,0
NEM,2024,Q1,3,275.38,97836.59,320.45,142.84,39.08,0
NEM,2024,Q2,3,479.95,217369.39,329.44,291.69,68.26,0
NEM,2024,Q3,3,394.89,144265.12,315.91,199.11,44.62,0
NEM,2024,Q4,3,589.43,181963.86,293.5,256.1,47.05,0
NEM,2025,Q1,3,255.37,81574.2,278.77,136.66,37.23,0
NEM,2025,Q2,3,578.95,177708.14,272.3,284.98,64.19,0
NEM,2025,Q3,3,193.49,69897.36,294.34,127.09,45.62,0
NEM,2025,Q4,3,261.04,84815.64,306.66,116.68,23.3,0
NEM,2026,Q1,3,165.0,51756.56,266.66,108.74,41.92,0
NEM,2026,Q2,3,88.36,19611.3,173.98,89.56,49.53,0
NEM,2024,Q1,4,224.69,98469.77,241.84,142.71,38.95,0
NEM,2024,Q2,4,433.85,219043.83,248.88,291.35,67.89,0
NEM,2024,Q3,4,341.76,151320.7,238.32,204.19,43.27,0
NEM,2024,Q4,4,478.83,191076.55,225.21,259.23,44.87,0
NEM,2025,Q1,4,218.33,88631.34,214.16,140.87,35.62,0
NEM,2025,Q2,4,491.46,193639.87,212.6,290.79,60.07,0
NEM,2025,Q3,4,179.91,80207.57,227.9,133.6,43.43,0
NEM,2025,Q4,4,227.87,94370.96,232.39,123.13,20.57,0
NEM,2026,Q1,4,141.45,56707.08,206.56,111.08,40.42,0
NEM,2026,Q2,4,83.68,23039.17,135.79,92.32,47.58,0
NEM,2024,Q1,5,191.26,98890.25,193.92,142.71,38.78,0
NEM,2024,Q2,5,400.98,220247.99,200.02,291.25,67.64,0
NEM,2024,Q3,5,301.09,156946.06,192.91,206.94,42.12,0
NEM,2024,Q4,5,407.07,198403.82,183.77,260.97,42.9,0
NEM,2025,Q1,5,192.85,94409.02,174.24,144.17,34.11,0
NEM,2025,Q2,5,420.36,202635.26,175.65,291.96,58.33,0
NEM,2025,Q3,5,168.04,88410.09,186.0,138.73,41.6,0
NEM,2025,Q4,5,205.55,102887.53,187.53,128.65,18.02,0
NEM,2026,Q1,5,125.5,60815.33,171.33,112.26,39.32,0
NEM,2026,Q2,5,79.51,26057.51,111.41,94.74,45.77,0
NEM,2024,Q1,6,166.93,99205.94,163.09,142.15,38.85,0
NEM,2024,Q2,6,360.11,221169.76,167.54,290.88,67.52,0
NEM,2024,Q3,6,268.46,161370.49,161.78,209.37,41.1,0
NEM,2024,Q4,6,356.1,204172.44,155.81,261.91,41.47,0
NEM,2025,Q1,6,173.68,99016.38,147.42,146.39,32.84,0
NEM,2025,Q2,6,367.31,208557.53,149.87,291.63,56.91,0
NEM,2025,Q3,6,157.02,94512.18,158.06,141.96,40.31,0
NEM,2025,Q4,6,188.74,110360.68,158.35,133.03,16.08,0
NEM,2026,Q1,6,113.43,64079.21,147.26,112.75,38.34,0
NEM,2026,Q2,6,75.57,28669.81,95.26,96.24,44.01,0
NEM,2024,Q1,7,147.94,99471.57,140.07,142.13,38.78,0
NEM,2024,Q2,7,320.25,221930.32,143.82,291.03,67.29,0
NEM,2024,Q3,7,242.39,164767.31,140.82,209.76,40.63,0
NEM,2024,Q4,7,317.08,208593.36,135.55,262.32,40.52,0
NEM,2025,Q1,7,158.15,102454.95,128.16,147.86,32.1,0
NEM,2025,Q2,7,326.44,212547.17,132.22,288.72,56.34,0
NEM,2025,Q3,7,146.65,98907.11,137.13,144.07,39.12,0
NEM,2025,Q4,7,174.95,116731.34,137.99,136.17,14.61,0
NEM,2026,Q1,7,103.51,66536.65,128.95,113.02,37.49,0
NEM,2026,Q2,7,71.69,30837.26,84.14,97.28,42.94,0
NEM,2024,Q1,8,132.55,99704.76,122.55,142.25,38.69,0
NEM,2024,Q2,8,288.02,222611.81,125.94,291.32,67.12,0
NEM,2024,Q3,8,220.31,167015.33,124.77,209.68,40.41,0
NEM,2024,Q4,8,285.6,211927.74,120.53,261.89,40.17,0
NEM,2025,Q1,8,144.81,104771.2,114.1,148.13,31.82,0
NEM,2025,Q2,8,293.15,214966.96,118.34,285.97,56.2,0
NEM,2025,Q3,8,136.57,102021.26,121.31,145.19,38.21,0
NEM,2025,Q4,8,162.78,121957.69,122.55,138.51,13.46,0
NEM,2026,Q1,8,94.95,68260.24,115.53,112.71,37.07,0
NEM,2026,Q2,8,67.54,32335.18,74.64,98.09,42.02,0
NEM,2024,Q1,9,119.78,99910.04,108.98,142.31,38.6,0
NEM,2024,Q2,9,261.17,223235.55,112.14,291.43,67.03,0
NEM,2024,Q3,9,200.88,168438.92,111.35,210.04,40.05,0
NEM,2024,Q4,9,259.4,214327.65,108.68,261.04,40.02,0
NEM,2025,Q1,9,132.85,106311.17,102.78,148.15,31.72,0
NEM,2025,Q2,9,265.29,216427.55,106.81,283.97,56.15,0
NEM,2025,Q3,9,126.48,104095.86,108.81,145.69,37.59,0
NEM,2025,Q4,9,151.68,126004.47,110.06,140.26,12.46,0
NEM,2026,Q1,9,87.28,69391.72,104.33,112.41,36.76,0
NEM,2026,Q2,9,62.76,33168.73,66.84,98.58,41.59,0
NEM,2024,Q1,10,108.97,100094.77,98.29,142.28,38.62,0
NEM,2024,Q2,10,238.2,223811.81,100.96,291.6,66.76,0
NEM,2024,Q3,10,183.78,169179.64,100.16,210.51,39.73,0
NEM,2024,Q4,10,236.95,215890.98,99.15,259.58,39.94,0
NEM,2025,Q1,10,122.04,107388.09,93.21,148.23,31.54,0
NEM,2025,Q2,10,241.5,217459.06,96.93,282.89,55.92,0
NEM,2025,Q3,10,116.54,105276.19,98.43,145.9,37.19,0
NEM,2025,Q4,10,141.14,128805.29,100.69,140.6,12.1,0
NEM,2026,Q1,10,80.24,70162.67,94.9,112.4,36.73,0
NEM,2026,Q2,10,57.81,33775.05,60.55,98.9,41.3,0
NEM,2024,Q1,11,99.67,100264.73,89.48,142.27,38.6,0
NEM,2024,Q2,11,218.21,224345.63,91.85,291.68,66.51,0
NEM,2024,Q3,11,168.51,169696.27,90.86,211.17,39.52,0
NEM,2024,Q4,11,217.23,216929.14,90.82,258.78,39.79,0
NEM,2025,Q1,11,112.19,108097.65,85.14,148.3,31.43,0
NEM,2025,Q2,11,220.92,218348.89,88.59,282.33,55.66,0
NEM,2025,Q3,11,107.16,106244.28,89.76,146.34,37.0,0
NEM,2025,Q4,11,130.75,130422.69,92.69,140.57,12.09,0
NEM,2026,Q1,11,73.77,70757.07,86.8,112.48,36.66,0
NEM,2026,Q2,11,53.21,34311.38,55.61,99.13,41.26,0
